date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2012-12-28,1.1700000000000017,-0.17237745,231.221,91.0419,22.72,98.3101,11758.3,332239.0,33942.6038577,6985.0,1.46,1.73,0.16,0.2000000000000028,0.6700000000000017,1.4351480759837956,1.0251053861099193,89.754,87.69500000000001,1.023479103711728,1,0.8999999999999915,3.019999999999996,0,0,0,1
2012-12-31,1.3100000000000025,-0.17237745,231.221,91.0834,18.02,98.3101,11758.3,332239.0,33942.6038577,6985.0,1.53,1.78,0.16,-0.25,-1.5600000000000025,1.0840341323039548,1.037194977356051,90.48,87.8595,1.029826029057757,1,3.629999999999995,3.289999999999992,0,0,1,0
2013-01-02,-0.1700000000000017,0.08440142,231.679,90.6941,14.68,98.3342,11810.6,332239.0,33694.5439694,6985.0,1.59,1.86,0.14,1.1700000000000017,0.0900000000000034,1.0415613280071367,1.0683084267835905,91.45,88.082,1.0382370972502897,1,4.849999999999994,4.450000000000003,0,0,0,0
2013-01-03,0.1500000000000056,0.08440142,231.679,90.8097,14.56,98.3342,11810.6,332239.0,33694.5439694,6985.0,1.65,1.92,0.14,1.3100000000000025,2.4199999999999875,0.7407563702054833,1.052957114136428,91.902,88.32849999999999,1.040456930662244,1,2.260000000000005,4.929999999999993,0,0,0,0
2013-01-04,0.0799999999999983,0.08440142,231.679,91.1025,13.83,98.3342,11810.6,333131.0,33694.5439694,7002.0,1.66,1.93,0.14,-0.1700000000000017,0.2000000000000028,0.7453321407265372,1.0306390454981076,92.344,88.6165,1.0420632726410997,1,2.210000000000008,5.760000000000005,0,0,0,1
2013-01-07,0.0099999999999909,0.08440142,231.679,90.9852,13.79,98.3342,11810.6,333131.0,33694.5439694,7002.0,1.65,1.92,0.14,0.1500000000000056,-0.25,0.6805292058391047,0.8970024643514747,92.852,89.00300000000001,1.043245733289889,1,2.5400000000000063,7.730000000000004,0,0,1,0
2013-01-08,-0.1299999999999954,0.08440142,231.679,91.057,13.62,98.3342,11810.6,333131.0,33694.5439694,7002.0,1.64,1.89,0.14,0.0799999999999983,1.1700000000000017,0.5901525226583416,0.8963117408815378,93.128,89.39099999999999,1.0418051034220448,1,1.3799999999999957,7.759999999999991,0,0,0,0
2013-01-09,0.730000000000004,0.08440142,231.679,91.0088,13.81,98.3342,11810.6,333131.0,33694.5439694,7002.0,1.64,1.88,0.14,0.0099999999999909,1.3100000000000025,0.1360882066896424,0.8898142916834938,93.116,89.788,1.03706508664855,1,-0.0600000000000022,7.939999999999998,0,0,0,0
2013-01-10,-0.2100000000000079,0.08440142,231.679,90.6425,13.49,98.3342,11810.6,333131.0,33694.5439694,7002.0,1.65,1.91,0.14,-0.1299999999999954,-0.1700000000000017,0.3307869404919174,0.8917804485528037,93.284,90.2105,1.0340703133227285,1,0.8400000000000034,8.450000000000003,0,0,0,0
2013-01-11,0.6700000000000017,0.08440142,231.679,90.5352,13.36,98.3342,11810.6,332180.0,33694.5439694,7041.0,1.63,1.89,0.14,0.730000000000004,0.1500000000000056,0.3722633476451915,0.89195748659604,93.38,90.573,1.0309915758559394,1,0.4799999999999897,7.25,0,0,0,1
